sid,poe50y,Lon,Lat,Mag,poe
0,0.1,-74.60000000000001,-33.6,9.0,0.0
0,0.1,-74.60000000000001,-33.4,5.0,0.0
0,0.1,-74.60000000000001,-33.4,5.5,0.0
0,0.1,-74.60000000000001,-33.4,6.0,0.0
0,0.1,-74.60000000000001,-33.4,6.5,0.0
0,0.1,-74.60000000000001,-33.4,7.0,0.0
0,0.1,-74.60000000000001,-33.4,7.5,0.0
0,0.1,-74.60000000000001,-33.4,8.0,0.0
0,0.1,-74.60000000000001,-33.4,8.5,0.0
0,0.1,-74.60000000000001,-33.4,9.0,0.0
0,0.1,-74.60000000000001,-33.199999999999996,5.0,0.0
0,0.1,-74.60000000000001,-33.199999999999996,5.5,0.0
0,0.1,-74.60000000000001,-33.199999999999996,6.0,0.0
0,0.1,-74.60000000000001,-33.199999999999996,6.5,0.0
0,0.1,-74.60000000000001,-33.199999999999996,7.0,0.0
0,0.1,-74.60000000000001,-33.199999999999996,7.5,0.0
0,0.1,-74.60000000000001,-33.199999999999996,8.0,0.0
0,0.1,-74.60000000000001,-33.199999999999996,8.5,0.0
0,0.1,-74.60000000000001,-33.199999999999996,9.0,0.0
0,0.1,-74.60000000000001,-33.0,5.0,0.0
0,0.1,-74.60000000000001,-33.0,5.5,0.0
0,0.1,-74.60000000000001,-33.0,6.0,0.0
0,0.1,-74.60000000000001,-33.0,6.5,0.0
0,0.1,-74.60000000000001,-33.0,7.0,0.0
0,0.1,-74.60000000000001,-33.0,7.5,0.0
0,0.1,-74.60000000000001,-33.0,8.0,0.0
0,0.1,-74.60000000000001,-33.0,8.5,0.0
0,0.1,-74.60000000000001,-33.0,9.0,0.0
0,0.1,-74.60000000000001,-32.8,5.0,0.0
0,0.1,-74.60000000000001,-32.8,5.5,0.0
0,0.1,-74.60000000000001,-32.8,6.0,0.0
0,0.1,-74.60000000000001,-32.8,6.5,0.0
0,0.1,-74.60000000000001,-32.8,7.0,0.0
0,0.1,-74.60000000000001,-32.8,7.5,0.0
0,0.1,-74.60000000000001,-32.8,8.0,0.0
0,0.1,-74.60000000000001,-32.8,8.5,0.0
0,0.1,-74.60000000000001,-32.8,9.0,0.0
0,0.1,-74.60000000000001,-32.6,5.0,0.0
0,0.1,-74.60000000000001,-32.6,5.5,0.0
0,0.1,-74.60000000000001,-32.6,6.0,0.0
0,0.1,-74.60000000000001,-32.6,6.5,0.0
0,0.1,-74.60000000000001,-32.6,7.0,0.0
0,0.1,-74.60000000000001,-32.6,7.5,0.0
0,0.1,-74.60000000000001,-32.6,8.0,0.0
0,0.1,-74.60000000000001,-32.6,8.5,0.0
0,0.1,-74.60000000000001,-32.6,9.0,0.0
0,0.1,-74.60000000000001,-32.4,5.0,0.0
0,0.1,-74.60000000000001,-32.4,5.5,0.0
0,0.1,-74.60000000000001,-32.4,6.0,0.0
0,0.1,-74.60000000000001,-32.4,6.5,0.0
0,0.1,-74.60000000000001,-32.4,7.0,0.0
0,0.1,-74.60000000000001,-32.4,7.5,0.0
